('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         943793 function calls (918131 primitive calls) in 6.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      162    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      136    0.000    0.000    0.001    0.000 css_types.py:204(__init__)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
     1014    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      717    0.000    0.000    0.000    0.000 typing.py:590(_is_dunder)
        3    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
      717    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      647    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      163    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      384    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       97    0.000    0.000    0.001    0.000 enum.py:830(__or__)
      171    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.213    0.213 financial.py:22(parse_website)
      236    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      160    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      579    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     1014    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      470    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 parse.py:599(unquote)
        1    0.000    0.000    0.851    0.851 client.py:266(_read_status)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      189    0.000    0.000    0.001    0.000 css_types.py:361(__init__)
       25    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      403    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      579    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      341    0.000    0.000    0.000    0.000 types.py:164(__get__)
      455    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      192    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        9    0.000    0.000    0.000    0.000 message.py:462(get)
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
      308    0.000    0.000    0.000    0.000 css_parser.py:251(css_unescape)
    81/77    0.000    0.000    0.002    0.000 typing.py:248(inner)
      192    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      957    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.912    0.912 connection.py:435(getresponse)
        1    0.000    0.000    0.912    0.912 client.py:299(begin)
      107    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
      192    0.000    0.000    0.001    0.000 element.py:273(get_text)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
      690    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      384    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       84    0.000    0.000    0.000    0.000 css_parser.py:808(parse_combinator)
      103    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    42/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       45    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      273    0.000    0.000    0.000    0.000 css_parser.py:347(match)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  152/151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      127    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       30    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      359    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      213    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
    223/4    0.000    0.000    0.207    0.052 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      221    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __meta__.py:83(__new__)
        1    0.000    0.000    6.686    6.686 financial.py:2(<module>)
      193    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
   139/77    0.000    0.000    0.000    0.000 typing.py:664(__hash__)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.152    0.152 __init__.py:122(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:545(parse_tag_pattern)
      305    0.000    0.000    0.084    0.000 re.py:232(compile)
        3    0.000    0.000    0.000    0.000 feedparser.py:101(push)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      150    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      870    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    1.253    1.253 sessions.py:673(send)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:890(<listcomp>)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.000    0.000 md.py:140(UnprintablePlugin)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
      339    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      213    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
  209/207    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      479    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       43    0.000    0.000    0.181    0.004 models.py:812(generate)
        2    0.000    0.000    0.061    0.030 __init__.py:3(<module>)
