('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         987903 function calls (956677 primitive calls) in 1.947 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  576/575    0.002    0.000    0.005    0.000 _readers.py:157(__call__)
      571    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      568    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
      563    0.000    0.000    0.000    0.000 typing.py:893(cast)
      551    0.000    0.000    0.000    0.000 _decoders.py:174(decode)
      548    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      505    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      495    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      494    0.000    0.000    0.001    0.000 enum.py:376(__setattr__)
      473    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      470    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      442    0.000    0.000    0.000    0.000 typing.py:317(__eq__)
      441    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      421    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      402    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      402    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      402    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      400    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      384    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      365    0.001    0.000    0.005    0.000 typing.py:603(__init__)
      361    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      361    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
      360    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      358    0.000    0.000    0.000    0.000 typing.py:479(__hash__)
      346    0.000    0.000    0.000    0.000 typing_extensions.py:177(_should_collect_from_parameters)
    343/1    0.006    0.000    1.948    1.948 {built-in method builtins.exec}
      342    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
    330/4    0.000    0.000    0.200    0.050 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      329    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      325    0.001    0.000    0.005    0.000 css_parser.py:1101(selector_iter)
      322    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
      322    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
      317    1.188    0.004    1.188    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      317    0.001    0.000    1.188    0.004 ssl.py:920(read)
      317    0.001    0.000    1.189    0.004 ssl.py:1049(recv)
      317    0.002    0.000    1.196    0.004 sync.py:24(read)
      317    0.001    0.000    0.001    0.000 _connection.py:352(receive_data)
      317    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
      317    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
      314    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:315(get_name)
      308    0.000    0.000    0.000    0.000 css_parser.py:251(css_unescape)
      308    0.000    0.000    0.074    0.000 re.py:232(compile)
      308    0.001    0.000    0.074    0.000 re.py:271(_compile)
      301    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      291    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      288    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
    288/4    0.001    0.000    0.202    0.050 <frozen importlib._bootstrap>:978(_find_and_load)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
